sweep,value,condition,mean,std,n_seeds
loss,kl,reference,0.09916799768805505,0.0017034229715756502,3
loss,kl,teacher,0.9371839793523152,0.0006085778321052832,3
loss,kl,student_aux,0.4508586567640304,0.02786310277969603,3
loss,kl,student_all,0.896491977373759,0.0028137436227613777,3
loss,kl,xmodel_aux,0.09724933122595152,0.0024447372023182782,3
loss,kl,xmodel_all,0.7110386498769125,0.0033890167177373625,3
loss,kl,cos_aux_to_teacher,0.8257659888267517,0.005327530748300032,3
loss,mse,reference,0.09916799768805505,0.0017034229715756502,3
loss,mse,teacher,0.9371839793523152,0.0006085778321052832,3
loss,mse,student_aux,0.5662759844462077,0.0029873738019776724,3
loss,mse,student_all,0.9018053102493285,0.0020886328683955195,3
loss,mse,xmodel_aux,0.09494266420602798,0.0010977084761758914,3
loss,mse,xmodel_all,0.7055973140398661,0.0036081074006363363,3
loss,mse,cos_aux_to_teacher,0.8658090877532959,0.00236536640161296,3
loss,kl_temp,reference,0.09916799768805505,0.0017034229715756502,3
loss,kl_temp,teacher,0.9371839793523152,0.0006085778321052832,3
loss,kl_temp,student_aux,0.45503599027792613,0.02773413743218453,3
loss,kl_temp,student_all,0.8992653091748556,0.0023695292068805977,3
loss,kl_temp,xmodel_aux,0.09715066408117612,0.0023287745518077744,3
loss,kl_temp,xmodel_all,0.7107626501719156,0.004020327431788603,3
loss,kl_temp,cos_aux_to_teacher,0.8273307784398396,0.0048561406601561885,3
noise,uniform,reference,0.09916799768805505,0.0017034229715756502,3
noise,uniform,teacher,0.9371839793523152,0.0006085778321052832,3
noise,uniform,student_aux,0.4508586567640304,0.02786310277969603,3
noise,uniform,student_all,0.896491977373759,0.0028137436227613777,3
noise,uniform,xmodel_aux,0.09724933122595152,0.0024447372023182782,3
noise,uniform,xmodel_all,0.7110386498769125,0.0033890167177373625,3
noise,uniform,cos_aux_to_teacher,0.8257659888267517,0.005327530748300032,3
noise,gaussian,reference,0.09916799768805505,0.0017034229715756502,3
noise,gaussian,teacher,0.9371839793523152,0.0006085778321052832,3
noise,gaussian,student_aux,0.44691332280635826,0.03287475853458111,3
noise,gaussian,student_all,0.8911266454060872,0.004179321514921902,3
noise,gaussian,xmodel_aux,0.09721333076556522,0.0014510149555032705,3
noise,gaussian,xmodel_all,0.7091893140474955,0.0014929919888850324,3
noise,gaussian,cos_aux_to_teacher,0.8222314898173014,0.0060634260003134535,3
noise,train_images,reference,0.09916799768805505,0.0017034229715756502,3
noise,train_images,teacher,0.9371839793523152,0.0006085778321052832,3
noise,train_images,student_aux,0.14625599672396977,0.006614236310228448,3
noise,train_images,student_all,0.9239839768409729,0.0008066824577183314,3
noise,train_images,xmodel_aux,0.09861866436898709,0.002776259597582549,3
noise,train_images,xmodel_all,0.9228039781252543,0.0005142291890909817,3
noise,train_images,cos_aux_to_teacher,0.656105093161265,0.006168662858613255,3
distill_epochs,0,reference,0.09916799768805505,0.0017034229715756502,3
distill_epochs,0,teacher,0.9371839793523152,0.0006085778321052832,3
distill_epochs,0,student_aux,0.09916799768805505,0.0017034229715756502,3
distill_epochs,0,student_all,0.09916799768805505,0.0017034229715756502,3
distill_epochs,0,xmodel_aux,0.09916799768805505,0.0017034229715756502,3
distill_epochs,0,xmodel_all,0.09916799768805505,0.0017034229715756502,3
distill_epochs,0,cos_aux_to_teacher,0.6443773690859477,0.0037801896103811395,3
distill_epochs,1,reference,0.09916799768805505,0.0017034229715756502,3
distill_epochs,1,teacher,0.9371839793523152,0.0006085778321052832,3
distill_epochs,1,student_aux,0.1651959956685702,0.009895980018720928,3
distill_epochs,1,student_all,0.5544319876035054,0.017016406728879163,3
distill_epochs,1,xmodel_aux,0.09573066453138988,0.001913365463092443,3
distill_epochs,1,xmodel_all,0.3047186591227849,0.00646105280954898,3
distill_epochs,1,cos_aux_to_teacher,0.7052244901657104,0.0066614584972443935,3
distill_epochs,2,reference,0.09916799768805505,0.0017034229715756502,3
distill_epochs,2,teacher,0.9371839793523152,0.0006085778321052832,3
distill_epochs,2,student_aux,0.24664399435122808,0.02102581539387863,3
distill_epochs,2,student_all,0.7566413156191508,0.008618443974457593,3
distill_epochs,2,xmodel_aux,0.09652266388138135,0.0016853747088963172,3
distill_epochs,2,xmodel_all,0.5140413220723471,0.003965059614871788,3
distill_epochs,2,cos_aux_to_teacher,0.7546979061762492,0.006733441171327096,3
distill_epochs,3,reference,0.09916799768805505,0.0017034229715756502,3
distill_epochs,3,teacher,0.9371839793523152,0.0006085778321052832,3
distill_epochs,3,student_aux,0.3288746579488118,0.02616566375754303,3
distill_epochs,3,student_all,0.8321439798672995,0.00822545319408889,3
distill_epochs,3,xmodel_aux,0.09674533103903134,0.0021625185733959917,3
distill_epochs,3,xmodel_all,0.6356479831536611,0.004570362212245829,3
distill_epochs,3,cos_aux_to_teacher,0.7876616311073303,0.006269684275309217,3
distill_epochs,5,reference,0.09916799768805505,0.0017034229715756502,3
distill_epochs,5,teacher,0.9371839793523152,0.0006085778321052832,3
distill_epochs,5,student_aux,0.4508586567640304,0.02786310277969603,3
distill_epochs,5,student_all,0.896491977373759,0.0028137436227613777,3
distill_epochs,5,xmodel_aux,0.09724933122595152,0.0024447372023182782,3
